"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"TTLL3"	"TTLL3"	-0.337489686932736	0.337489686932736	"S02"	0.337489686932736	"IS02"
"NAF1"	"NAF1"	-0.335155731143881	0.335155731143881	"S02"	0.335155731143881	"IS02"
"PPP2CB"	"PPP2CB"	-0.326428871469524	0.326428871469524	"S02"	0.326428871469524	"IS02"
"SHTN1"	"SHTN1"	-0.321947247011299	0.321947247011299	"S02"	0.321947247011299	"IS02"
"PSKH1"	"PSKH1"	-0.312442571068266	0.312442571068266	"S02"	0.312442571068266	"IS02"
"PLA2G4C"	"PLA2G4C"	-0.29476747647534	0.29476747647534	"S02"	0.29476747647534	"IS02"
"CYFIP1"	"CYFIP1"	-0.25881967310659	0.25881967310659	"S02"	0.25881967310659	"IS02"
"PTK2"	"PTK2"	-0.23581409449018	0.23581409449018	"S02"	0.23581409449018	"IS02"
"STRN4"	"STRN4"	-0.230567249261645	0.230567249261645	"S02"	0.230567249261645	"IS02"
"EMC4"	"EMC4"	-0.228530157779398	0.228530157779398	"S02"	0.228530157779398	"IS02"
"MTSS1"	"MTSS1"	-0.220639439930474	0.220639439930474	"S02"	0.220639439930474	"IS02"
"POMGNT1"	"POMGNT1"	-0.218071741512335	0.218071741512335	"S02"	0.218071741512335	"IS02"
"EHBP1"	"EHBP1"	-0.158311290260674	0.158311290260674	"S02"	0.158311290260674	"IS02"
"NECAP1"	"NECAP1"	-0.158072896553468	0.158072896553468	"S02"	0.158072896553468	"IS02"
"UTRN"	"UTRN"	-0.132011642260252	0.132011642260252	"S02"	0.132011642260252	"IS02"
"C7orf26"	"C7orf26"	-0.0711582975661535	0.0711582975661535	"S02"	0.0711582975661535	"IS02"
"TBC1D20"	"TBC1D20"	-0.0496688011699557	0.0496688011699557	"S02"	0.0496688011699557	"IS02"
"CD1D"	"CD1D"	-0.0474764336273279	0.0474764336273279	"S02"	0.0474764336273279	"IS02"
"LMTK2"	"LMTK2"	-0.0460794708349399	0.0460794708349399	"S02"	0.0460794708349399	"IS02"
"CNOT3"	"CNOT3"	-0.0284544031231034	0.0284544031231034	"S02"	0.0284544031231034	"IS02"
"JTB"	"JTB"	-0.00999931871836846	0.00999931871836846	"S02"	0.00999931871836846	"IS02"
