"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"PCBP2"	"PCBP2"	0.769456828602374	-0.714032995524052	-0.285636863281427	"S01"	0.769456828602374	"IS01"
"CSNK2A1"	"CSNK2A1"	0.769427210530533	-0.41694139929384	-0.564070577035404	"S01"	0.769427210530533	"IS01"
"AKNA"	"AKNA"	0.768877023429071	-1.07408021526123	0.0525628473368662	"S01"	0.768877023429071	"IS01"
"SEPT6"	"SEPT6"	0.765695611246631	-1.08639254336274	0.0680516766590039	"S01"	0.765695611246631	"IS01"
"RPL36A.HNRNPH2"	"RPL36A.HNRNPH2"	0.763720073955862	0.157926784528908	-1.09582443397488	"S01"	0.763720073955862	"IS01"
"LRRC55"	"LRRC55"	0.762724036821868	0.185135718587728	-1.12009185713666	"S01"	0.762724036821868	"IS01"
"ABLIM1"	"ABLIM1"	0.762195973118607	-0.890605135797161	-0.11112101485242	"S01"	0.762195973118607	"IS01"
"TSHR"	"TSHR"	0.761713495041805	-0.397784579950349	-0.572453765346284	"S01"	0.761713495041805	"IS01"
"CCDC186"	"CCDC186"	0.761612237054445	-0.810357761318612	-0.185614207940435	"S01"	0.761612237054445	"IS01"
"TIMM9"	"TIMM9"	0.761281919176071	-0.381705320123519	-0.586989611602447	"S01"	0.761281919176071	"IS01"
"CCDC58"	"CCDC58"	0.760148364442972	-0.103227196139749	-0.846606495787411	"S01"	0.760148364442972	"IS01"
"ERICH1"	"ERICH1"	0.758979912311231	-0.744426876534206	-0.244145890094069	"S01"	0.758979912311231	"IS01"
"ADAT2"	"ADAT2"	0.75766559345032	-0.780505523770319	-0.208697479163887	"S01"	0.75766559345032	"IS01"
"FYN"	"FYN"	0.753010836813355	-1.17145150857568	0.163521441041317	"S01"	0.753010836813355	"IS01"
"CDHR3"	"CDHR3"	0.752591661485702	-0.454175606954362	-0.508276789331017	"S01"	0.752591661485702	"IS01"
"GABRP"	"GABRP"	0.751520146023294	0.17564905824375	-1.09729548652405	"S01"	0.751520146023294	"IS01"
"KNTC1"	"KNTC1"	0.748675096572231	-0.660961798622247	-0.309590998063089	"S01"	0.748675096572231	"IS01"
"SENP6"	"SENP6"	0.74800496803825	-1.11481792189	0.116649949357121	"S01"	0.74800496803825	"IS01"
"FOXO1"	"FOXO1"	0.747227364874923	-1.03553691184309	0.0433031448913375	"S01"	0.747227364874923	"IS01"
"CHMP7"	"CHMP7"	0.745896615425856	-0.997846141055394	0.00962625278553151	"S01"	0.745896615425856	"IS01"
"KDM6A"	"KDM6A"	0.745378583799301	-0.935081005019104	-0.0485619955888619	"S01"	0.745378583799301	"IS01"
"SMIM11A"	"SMIM11A"	0.745022047520179	-0.0194746490552029	-0.906337448320878	"S01"	0.745022047520179	"IS01"
"SSH2"	"SSH2"	0.744996885036098	-0.668382839412438	-0.298070338903225	"S01"	0.744996885036098	"IS01"
"ZNF146"	"ZNF146"	0.742852887603236	-0.625992022570065	-0.335143425682103	"S01"	0.742852887603236	"IS01"
"TBC1D29"	"TBC1D29"	0.741459143054725	-0.075133224953066	-0.84974578833356	"S01"	0.741459143054725	"IS01"
"EVI2B"	"EVI2B"	0.738841383348757	-0.482439578446292	-0.464719901076605	"S01"	0.738841383348757	"IS01"
"KCTD13"	"KCTD13"	0.738414141436207	-0.630076430949096	-0.325806422300168	"S01"	0.738414141436207	"IS01"
"LAMP3"	"LAMP3"	0.737833944441521	-0.195814017761241	-0.732130069388257	"S01"	0.737833944441521	"IS01"
"MYB"	"MYB"	0.737695855068471	-0.544293982998287	-0.40532078080168	"S01"	0.737695855068471	"IS01"
"IPP"	"IPP"	0.737649787512856	-0.570171167490503	-0.381008357083261	"S01"	0.737649787512856	"IS01"
"RAD18"	"RAD18"	0.737375264291329	-0.482848705583814	-0.462516925892387	"S01"	0.737375264291329	"IS01"
"VAMP2"	"VAMP2"	0.737338093047828	-0.572463183335806	-0.378473179527503	"S01"	0.737338093047828	"IS01"
"FDXACB1"	"FDXACB1"	0.736514468806681	-0.306624205660096	-0.62662774629635	"S01"	0.736514468806681	"IS01"
"CA5B"	"CA5B"	0.736468083591239	-0.155622524489253	-0.768107369388546	"S01"	0.736468083591239	"IS01"
"ELP2"	"ELP2"	0.736010201765617	-0.73911508123579	-0.220618752599794	"S01"	0.736010201765617	"IS01"
"TAS2R13"	"TAS2R13"	0.734247461531291	-0.606980114973917	-0.342284149335076	"S01"	0.734247461531291	"IS01"
"FUZ"	"FUZ"	0.732708355578356	0.0693888625375806	-0.974349559728764	"S01"	0.732708355578356	"IS01"
"EEF1B2"	"EEF1B2"	0.732458170156637	-0.108894922254117	-0.806929770651358	"S01"	0.732458170156637	"IS01"
"KTI12"	"KTI12"	0.730713665614152	-0.10801910097284	-0.805585722283362	"S01"	0.730713665614152	"IS01"
"CDC14A"	"CDC14A"	0.727841920121631	-0.428228192212296	-0.50188280674398	"S01"	0.727841920121631	"IS01"
"MBD5"	"MBD5"	0.727812560175438	-0.956241369251502	-0.00692803626403541	"S01"	0.727812560175438	"IS01"
"COMMD6"	"COMMD6"	0.727513281192604	-0.303723911994672	-0.618175550544875	"S01"	0.727513281192604	"IS01"
"UBR5"	"UBR5"	0.727319857042797	-0.462224354060664	-0.469369564791692	"S01"	0.727319857042797	"IS01"
"EIF3H"	"EIF3H"	0.726272150664521	-0.466178505537501	-0.464363021389252	"S01"	0.726272150664521	"IS01"
"HNRNPL"	"HNRNPL"	0.72588667932439	-0.836048668346231	-0.11719722401081	"S01"	0.72588667932439	"IS01"
"ASF1A"	"ASF1A"	0.724154091612291	-0.553161492568548	-0.380203393878239	"S01"	0.724154091612291	"IS01"
"GPX7"	"GPX7"	0.724112365208753	-0.198141513992078	-0.712919624448829	"S01"	0.724112365208753	"IS01"
"FLT3LG"	"FLT3LG"	0.721056498934963	-0.502562354835097	-0.42378688374736	"S01"	0.721056498934963	"IS01"
"FAM208B"	"FAM208B"	0.720213238432664	-1.17661712948359	0.209065951392681	"S01"	0.720213238432664	"IS01"
"PRR4"	"PRR4"	0.719525268835998	-0.745187742016467	-0.194468489975906	"S01"	0.719525268835998	"IS01"
"KCNH2"	"KCNH2"	0.718048837665068	0.116805692915417	-1.00060155742472	"S01"	0.718048837665068	"IS01"
"ELOVL5"	"ELOVL5"	0.716881773125874	-0.973610378926255	0.0229177045387672	"S01"	0.716881773125874	"IS01"
"TTC13"	"TTC13"	0.714528643162613	-1.04120981559185	0.0892004340971094	"S01"	0.714528643162613	"IS01"
"SGPP2"	"SGPP2"	0.709611405147877	-0.554890940632476	-0.360534497476726	"S01"	0.709611405147877	"IS01"
"RPS14"	"RPS14"	0.708569359041175	0.0115141364836529	-0.890145195730649	"S01"	0.708569359041175	"IS01"
"DDHD2"	"DDHD2"	0.705864355203674	-0.822053981007497	-0.105466533832633	"S01"	0.705864355203674	"IS01"
"ABCB7"	"ABCB7"	0.705359648751515	-0.444214135759754	-0.458997755929347	"S01"	0.705359648751515	"IS01"
"ZNF41"	"ZNF41"	0.705263912351315	-0.357000399561817	-0.540626292776054	"S01"	0.705263912351315	"IS01"
"DDX58"	"DDX58"	0.704439725442327	-0.785229871389567	-0.138214577537065	"S01"	0.704439725442327	"IS01"
